onset	duration	trial_type	value	sample
13.124	1.0	Target	2	3281
13.336	1.0	NonTarget	1	3334
13.556	1.0	NonTarget	1	3389
13.772	1.0	NonTarget	1	3443
13.988	1.0	NonTarget	1	3497
14.204	1.0	NonTarget	1	3551
14.42	1.0	Target	2	3605
14.636	1.0	NonTarget	1	3659
14.856	1.0	NonTarget	1	3714
15.072	1.0	NonTarget	1	3768
15.288	1.0	NonTarget	1	3822
15.504	1.0	NonTarget	1	3876
15.72	1.0	NonTarget	1	3930
15.936	1.0	NonTarget	1	3984
16.152	1.0	Target	2	4038
16.372	1.0	NonTarget	1	4093
16.588	1.0	NonTarget	1	4147
16.804	1.0	NonTarget	1	4201
17.02	1.0	NonTarget	1	4255
17.236	1.0	Target	2	4309
17.452	1.0	NonTarget	1	4363
17.672	1.0	NonTarget	1	4418
17.884	1.0	NonTarget	1	4471
18.104	1.0	NonTarget	1	4526
18.32	1.0	NonTarget	1	4580
18.536	1.0	NonTarget	1	4634
18.752	1.0	NonTarget	1	4688
18.968	1.0	Target	2	4742
19.184	1.0	NonTarget	1	4796
19.404	1.0	NonTarget	1	4851
19.62	1.0	NonTarget	1	4905
19.836	1.0	NonTarget	1	4959
20.052	1.0	NonTarget	1	5013
20.268	1.0	NonTarget	1	5067
20.484	1.0	Target	2	5121
20.7	1.0	NonTarget	1	5175
20.92	1.0	NonTarget	1	5230
21.136	1.0	NonTarget	1	5284
21.352	1.0	NonTarget	1	5338
21.568	1.0	NonTarget	1	5392
21.784	1.0	Target	2	5446
22.0	1.0	NonTarget	1	5500
22.22	1.0	NonTarget	1	5555
22.436	1.0	NonTarget	1	5609
22.652	1.0	NonTarget	1	5663
22.868	1.0	Target	2	5717
23.084	1.0	NonTarget	1	5771
23.3	1.0	NonTarget	1	5825
23.516	1.0	NonTarget	1	5879
23.732	1.0	NonTarget	1	5933
23.952	1.0	NonTarget	1	5988
24.168	1.0	NonTarget	1	6042
24.384	1.0	Target	2	6096
24.6	1.0	NonTarget	1	6150
24.816	1.0	NonTarget	1	6204
25.032	1.0	NonTarget	1	6258
25.252	1.0	Target	2	6313
25.468	1.0	NonTarget	1	6367
25.684	1.0	NonTarget	1	6421
25.9	1.0	NonTarget	1	6475
30.616	1.0	NonTarget	1	7654
30.832	1.0	NonTarget	1	7708
31.048	1.0	NonTarget	1	7762
31.264	1.0	Target	2	7816
31.48	1.0	NonTarget	1	7870
31.696	1.0	NonTarget	1	7924
31.916	1.0	NonTarget	1	7979
32.132	1.0	NonTarget	1	8033
32.348	1.0	NonTarget	1	8087
32.564	1.0	Target	2	8141
32.78	1.0	NonTarget	1	8195
32.996	1.0	NonTarget	1	8249
33.212	1.0	NonTarget	1	8303
33.428	1.0	NonTarget	1	8357
33.648	1.0	NonTarget	1	8412
33.864	1.0	NonTarget	1	8466
34.08	1.0	NonTarget	1	8520
34.296	1.0	Target	2	8574
34.512	1.0	NonTarget	1	8628
34.728	1.0	NonTarget	1	8682
34.948	1.0	Target	2	8737
35.164	1.0	NonTarget	1	8791
35.38	1.0	NonTarget	1	8845
35.596	1.0	NonTarget	1	8899
35.812	1.0	Target	2	8953
36.028	1.0	NonTarget	1	9007
36.248	1.0	NonTarget	1	9062
36.464	1.0	NonTarget	1	9116
36.68	1.0	NonTarget	1	9170
36.896	1.0	NonTarget	1	9224
37.112	1.0	NonTarget	1	9278
37.328	1.0	NonTarget	1	9332
37.544	1.0	Target	2	9386
37.764	1.0	NonTarget	1	9441
37.98	1.0	NonTarget	1	9495
38.196	1.0	NonTarget	1	9549
38.412	1.0	Target	2	9603
38.628	1.0	NonTarget	1	9657
38.844	1.0	NonTarget	1	9711
39.06	1.0	NonTarget	1	9765
39.28	1.0	NonTarget	1	9820
39.496	1.0	NonTarget	1	9874
39.712	1.0	NonTarget	1	9928
39.928	1.0	NonTarget	1	9982
40.144	1.0	NonTarget	1	10036
40.36	1.0	NonTarget	1	10090
40.576	1.0	Target	2	10144
40.796	1.0	NonTarget	1	10199
41.012	1.0	NonTarget	1	10253
41.228	1.0	NonTarget	1	10307
41.444	1.0	Target	2	10361
41.66	1.0	NonTarget	1	10415
41.876	1.0	NonTarget	1	10469
42.092	1.0	NonTarget	1	10523
42.312	1.0	NonTarget	1	10578
42.528	1.0	Target	2	10632
42.744	1.0	NonTarget	1	10686
42.96	1.0	NonTarget	1	10740
43.176	1.0	NonTarget	1	10794
43.392	1.0	NonTarget	1	10848
57.64	1.0	NonTarget	1	14410
57.856	1.0	NonTarget	1	14464
58.072	1.0	NonTarget	1	14518
58.288	1.0	NonTarget	1	14572
58.504	1.0	Target	2	14626
58.72	1.0	NonTarget	1	14680
58.936	1.0	NonTarget	1	14734
59.152	1.0	Target	2	14788
59.372	1.0	NonTarget	1	14843
59.588	1.0	NonTarget	1	14897
59.804	1.0	NonTarget	1	14951
60.02	1.0	NonTarget	1	15005
60.236	1.0	NonTarget	1	15059
60.452	1.0	Target	2	15113
60.672	1.0	NonTarget	1	15168
60.888	1.0	NonTarget	1	15222
61.104	1.0	NonTarget	1	15276
61.32	1.0	NonTarget	1	15330
61.536	1.0	Target	2	15384
61.752	1.0	NonTarget	1	15438
61.968	1.0	NonTarget	1	15492
62.188	1.0	NonTarget	1	15547
62.404	1.0	NonTarget	1	15601
62.62	1.0	NonTarget	1	15655
62.84	1.0	NonTarget	1	15710
63.052	1.0	NonTarget	1	15763
63.268	1.0	NonTarget	1	15817
63.484	1.0	NonTarget	1	15871
63.704	1.0	Target	2	15926
63.92	1.0	NonTarget	1	15980
64.136	1.0	NonTarget	1	16034
64.352	1.0	Target	2	16088
64.568	1.0	NonTarget	1	16142
64.784	1.0	NonTarget	1	16196
65.0	1.0	NonTarget	1	16250
65.22	1.0	NonTarget	1	16305
65.436	1.0	NonTarget	1	16359
65.652	1.0	NonTarget	1	16413
65.868	1.0	NonTarget	1	16467
66.084	1.0	Target	2	16521
66.304	1.0	NonTarget	1	16576
66.516	1.0	NonTarget	1	16629
66.736	1.0	NonTarget	1	16684
66.968	1.0	NonTarget	1	16742
67.184	1.0	Target	2	16796
67.4	1.0	NonTarget	1	16850
67.616	1.0	NonTarget	1	16904
67.836	1.0	NonTarget	1	16959
68.052	1.0	NonTarget	1	17013
68.268	1.0	Target	2	17067
68.484	1.0	NonTarget	1	17121
68.7	1.0	NonTarget	1	17175
68.916	1.0	NonTarget	1	17229
69.132	1.0	NonTarget	1	17283
69.348	1.0	Target	2	17337
69.568	1.0	NonTarget	1	17392
69.784	1.0	NonTarget	1	17446
70.0	1.0	NonTarget	1	17500
70.216	1.0	NonTarget	1	17554
70.432	1.0	NonTarget	1	17608
75.216	1.0	NonTarget	1	18804
75.432	1.0	NonTarget	1	18858
75.648	1.0	NonTarget	1	18912
75.864	1.0	NonTarget	1	18966
76.08	1.0	NonTarget	1	19020
76.296	1.0	Target	2	19074
76.516	1.0	NonTarget	1	19129
76.732	1.0	NonTarget	1	19183
76.948	1.0	Target	2	19237
77.164	1.0	NonTarget	1	19291
77.38	1.0	NonTarget	1	19345
77.596	1.0	NonTarget	1	19399
77.812	1.0	Target	2	19453
78.032	1.0	NonTarget	1	19508
78.248	1.0	NonTarget	1	19562
78.464	1.0	NonTarget	1	19616
78.68	1.0	NonTarget	1	19670
78.896	1.0	NonTarget	1	19724
79.112	1.0	NonTarget	1	19778
79.328	1.0	NonTarget	1	19832
79.544	1.0	NonTarget	1	19886
79.764	1.0	NonTarget	1	19941
79.98	1.0	NonTarget	1	19995
80.196	1.0	Target	2	20049
80.412	1.0	NonTarget	1	20103
80.628	1.0	NonTarget	1	20157
80.848	1.0	Target	2	20212
81.064	1.0	NonTarget	1	20266
81.28	1.0	NonTarget	1	20320
81.496	1.0	NonTarget	1	20374
81.712	1.0	Target	2	20428
81.928	1.0	NonTarget	1	20482
82.144	1.0	NonTarget	1	20536
82.36	1.0	NonTarget	1	20590
82.58	1.0	NonTarget	1	20645
82.796	1.0	NonTarget	1	20699
83.012	1.0	NonTarget	1	20753
83.228	1.0	NonTarget	1	20807
83.444	1.0	NonTarget	1	20861
83.66	1.0	NonTarget	1	20915
83.876	1.0	NonTarget	1	20969
84.096	1.0	Target	2	21024
84.312	1.0	NonTarget	1	21078
84.528	1.0	NonTarget	1	21132
84.744	1.0	NonTarget	1	21186
84.96	1.0	NonTarget	1	21240
85.176	1.0	NonTarget	1	21294
85.392	1.0	Target	2	21348
85.612	1.0	NonTarget	1	21403
85.828	1.0	NonTarget	1	21457
86.044	1.0	NonTarget	1	21511
86.26	1.0	NonTarget	1	21565
86.476	1.0	NonTarget	1	21619
86.692	1.0	Target	2	21673
86.912	1.0	NonTarget	1	21728
87.128	1.0	NonTarget	1	21782
87.344	1.0	NonTarget	1	21836
87.56	1.0	Target	2	21890
87.776	1.0	NonTarget	1	21944
87.992	1.0	NonTarget	1	21998
101.972	1.0	NonTarget	1	25493
102.188	1.0	NonTarget	1	25547
102.404	1.0	NonTarget	1	25601
102.62	1.0	Target	2	25655
102.836	1.0	NonTarget	1	25709
103.056	1.0	NonTarget	1	25764
103.272	1.0	NonTarget	1	25818
103.488	1.0	NonTarget	1	25872
103.704	1.0	NonTarget	1	25926
103.92	1.0	Target	2	25980
104.136	1.0	NonTarget	1	26034
104.356	1.0	NonTarget	1	26089
104.568	1.0	NonTarget	1	26142
104.788	1.0	NonTarget	1	26197
105.004	1.0	NonTarget	1	26251
105.22	1.0	NonTarget	1	26305
105.436	1.0	NonTarget	1	26359
105.652	1.0	Target	2	26413
105.868	1.0	NonTarget	1	26467
106.088	1.0	NonTarget	1	26522
106.304	1.0	Target	2	26576
106.52	1.0	NonTarget	1	26630
106.736	1.0	NonTarget	1	26684
106.952	1.0	NonTarget	1	26738
107.168	1.0	Target	2	26792
107.384	1.0	NonTarget	1	26846
107.604	1.0	NonTarget	1	26901
107.82	1.0	NonTarget	1	26955
108.036	1.0	NonTarget	1	27009
108.252	1.0	NonTarget	1	27063
108.468	1.0	NonTarget	1	27117
108.684	1.0	NonTarget	1	27171
108.9	1.0	Target	2	27225
109.116	1.0	NonTarget	1	27279
109.336	1.0	NonTarget	1	27334
109.552	1.0	NonTarget	1	27388
109.768	1.0	Target	2	27442
109.984	1.0	NonTarget	1	27496
110.2	1.0	NonTarget	1	27550
110.42	1.0	NonTarget	1	27605
110.636	1.0	NonTarget	1	27659
110.852	1.0	NonTarget	1	27713
111.068	1.0	NonTarget	1	27767
111.284	1.0	NonTarget	1	27821
111.5	1.0	NonTarget	1	27875
111.716	1.0	NonTarget	1	27929
111.936	1.0	Target	2	27984
112.152	1.0	NonTarget	1	28038
112.368	1.0	NonTarget	1	28092
112.584	1.0	NonTarget	1	28146
112.8	1.0	Target	2	28200
113.016	1.0	NonTarget	1	28254
113.232	1.0	NonTarget	1	28308
113.452	1.0	NonTarget	1	28363
113.668	1.0	NonTarget	1	28417
113.884	1.0	Target	2	28471
114.1	1.0	NonTarget	1	28525
114.316	1.0	NonTarget	1	28579
114.532	1.0	NonTarget	1	28633
114.748	1.0	NonTarget	1	28687
119.584	1.0	NonTarget	1	29896
119.796	1.0	NonTarget	1	29949
120.016	1.0	NonTarget	1	30004
120.232	1.0	NonTarget	1	30058
120.448	1.0	NonTarget	1	30112
120.664	1.0	Target	2	30166
120.88	1.0	NonTarget	1	30220
121.096	1.0	NonTarget	1	30274
121.312	1.0	Target	2	30328
121.532	1.0	NonTarget	1	30383
121.748	1.0	NonTarget	1	30437
121.964	1.0	NonTarget	1	30491
122.18	1.0	Target	2	30545
122.396	1.0	NonTarget	1	30599
122.612	1.0	NonTarget	1	30653
122.828	1.0	NonTarget	1	30707
123.048	1.0	NonTarget	1	30762
123.28	1.0	NonTarget	1	30820
123.496	1.0	NonTarget	1	30874
123.712	1.0	NonTarget	1	30928
123.928	1.0	NonTarget	1	30982
124.148	1.0	NonTarget	1	31037
124.364	1.0	NonTarget	1	31091
124.58	1.0	Target	2	31145
124.796	1.0	NonTarget	1	31199
125.012	1.0	NonTarget	1	31253
125.228	1.0	Target	2	31307
125.444	1.0	NonTarget	1	31361
125.66	1.0	NonTarget	1	31415
125.88	1.0	NonTarget	1	31470
126.096	1.0	Target	2	31524
126.312	1.0	NonTarget	1	31578
126.528	1.0	NonTarget	1	31632
126.744	1.0	NonTarget	1	31686
126.96	1.0	NonTarget	1	31740
127.18	1.0	NonTarget	1	31795
127.396	1.0	NonTarget	1	31849
127.612	1.0	NonTarget	1	31903
127.828	1.0	NonTarget	1	31957
128.044	1.0	NonTarget	1	32011
